,LR Weights,LASSO Weights,Ridge Weights,ElasticNet Weights
total_livable_area,0.484807845496211,0.4649704119174685,0.4848076678660825,0.47056668434560983
number_of_bathrooms,0.26318825762498393,0.25469662302164386,0.26318822554573335,0.25815405386472645
exterior_condition_good,0.13288304554344255,0.12920998553838298,0.13288235147503832,0.1168167317953689
number_stories,0.10947173822363848,0.09963167592632884,0.10947172149469354,0.10415377300447601
year_built,0.07818455474270126,0.07314218936077684,0.07818457533751696,0.07615955677639293
fireplaces,0.0779248350675818,0.06900287702031695,0.0779248509548626,0.07386903298514014
zip_code,0.03042037985886084,0.018852658111221558,0.030420364780673267,0.024291903168837038
interior_condition_good,0.004019982296640829,0.00065578743866712,0.0040206746155428625,0.016533771097853093
number_of_rooms,-0.09862855507610159,-0.07809566554721034,-0.09862847486342155,-0.08650510299374906
number_of_bedrooms,-0.1599337404716253,-0.15070846360160275,-0.15993366688183083,-0.15345773730654225
